assign_to,second_review,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Re-review,accessed_ok,study_included,model_code_available,reporting_guidelines_mention,covid,sim_software,foss_sim,model_archive,model_repo,model_journal_supp,model_personal_org,model_platform,Available_on_Req,licence_if_code,Notes
TM,,6CYNDDIL,journalArticle,2021,"Saidani, M.; Kim, H.",A Discrete Event Simulation-Based Model to Optimally Design and Dimension Mobile COVID-19 Saliva-Based Testing Stations,Simulation in healthcare : journal of the Society for Simulation in Healthcare,,,10.1097/SIH.0000000000000565,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103682064&doi=10.1097%2fSIH.0000000000000565&partnerID=40&md5=63fdcafaae2c0ded012a4ae78e0d4ed7,"SUMMARY STATEMENT: The present COVID-19 brief report addresses: (1) the problem of optimal design and resource allocation to mobile testing stations to ensure rapid results to the persons getting tested; (2) the proposed solution through a newly developed discrete event simulation model, experienced in on-campus saliva-based testing stations at the University of Illinois at Urbana-Champaign; and (3) the lessons learned on how 10,000 samples (from noninvasive polymerase chain reaction COVID-19 tests) can be processed per day on campus, as well as how the model could be reused or adapted to other contexts by site managers and decision makers. Copyright © 2021 Society for Simulation in Healthcare.",2021,2022-10-26 15:47:41,2022-10-31 15:13:31,,151-152,,2,16,,,,,,,,,,,,,Scopus,,,,,,,,Yes,0,1,1,1,None,1,AnyLogic,0,,,File,,,,,
TM,,WJR7T7VY,book,2021,"Kenny, E.; Hassanzadeh, H.; Khanna, S.; Boyle, J.; Louise, S.",Patient flow simulation using historically informed synthetic data,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105514433&doi=10.3233%2fSHTI210007&partnerID=40&md5=9ab98ca32d16f6f823032c0dfa4d74b0,"Hospital overcrowding is a major problem for healthcare systems around the globe. In order to better estimate future demands and adequate resources for coping with such demands, statistical and computerised modelling can be applied. This can then allow healthcare administrators and decision makers to quantify the impacts of various 'what-if' scenarios on hospital performance measures. This paper investigates the application of Discrete Event Simulation towards optimising Emergency Department resources while measuring overall length of stay and queuing time of emergency patients as a target performance measure. In particular, we explore strategies for generating historically informed synthetic data that helps the simulation model track patient flow through the target hospital over a future time frame. Using the developed simulation model, several resource configurations are tested using data from one of the busiest emergency departments in the state of Queensland as the baseline while quantifying the impacts of such changes on key patient flow metrics. It was found that adding a single bed (and associated resources) to the emergency department would result in a 23% decrease in average patient treatment delay. © 2021 The authors and IOS Press.",2021,2022-10-26 15:47:41,2022-11-01 10:34:01,,,32,,276,,,,,,,,,,,,,Scopus,,,,Pages: 37 DOI: 10.3233/SHTI210007,,,,patient flow; Discrete Event Simulation; bed optimisation; Yes,0,1,1,0,None,0,SimPy,1,,,,,,,,
TM,,5I2TEDRL,journalArticle,2021,"Olave-Rojas, D.; Nickel, S.",Modeling a pre-hospital emergency medical service using hybrid simulation and a machine learning approach,Simulation Modelling Practice and Theory,,,10.1016/j.simpat.2021.102302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101349627&doi=10.1016%2fj.simpat.2021.102302&partnerID=40&md5=da29ee5b7beade3d1f0026ff09214d49,"Healthcare is one of the most important disciplines to ensure life quality for human beings, especially in unpredictable scenarios such as accidents, natural disasters, or terrorism. In these cases, Emergency Medical Services (EMS) face significant challenges due to the complex nature of pre-hospital events, coordinating several resources according to the collected information in a short time. In this context, both agent-based and discrete event simulation seem to be excellent approaches to find new strategies for facing this complexity. However, there are some challenges presented in the modeling process seeking an accurate representation of the reality. In this work, we introduce a general process of pre-hospital emergency services, a hybrid simulation model based on the general process, and a machine learning approach for key simulation parameters. Our general process benefits from an intensive exchange with a multidisciplinary group of experts from medicine, including practitioners, paramedics, coordination center managers, and stakeholders, among others. Furthermore, we validated our simulation model using real-world data from an emergency coordination center from North Germany. In addition, we introduce a machine learning approach for travel speed forecasting, using seven parameters for more accuracy. Finally, we present an application of our model to analyze critical crew capacity in the coordination center. © 2021 Elsevier B.V.",2021,2022-10-26 15:47:41,2022-11-01 10:11:37,,,,,109,,,,,,,,,,,,,Scopus,,,,,,,,Hybrid simulation; Discrete-event simulation; Agent-based simulation; German EMS system; Rescue chain; Hybrid; Yes,0,1,1,0,None,0,AnyLogic,0,,,,,,,,
TM,,35AML5NV,journalArticle,2021,"Kern, C.; König, A.; Fu, D.J.; Schworm, B.; Wolf, A.; Priglinger, S.; Kortuem, K.U.",Big data simulations for capacity improvement in a general ophthalmology clinic,Graefe's Archive for Clinical and Experimental Ophthalmology,,,10.1007/s00417-020-05040-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098715108&doi=10.1007%2fs00417-020-05040-9&partnerID=40&md5=b170eb1d7ac4728716141d97b8a8749d,"Purpose: Long total waiting times (TWT) experienced by patients during a clinic visit have a significant adverse effect on patient’s satisfaction. Our aim was to use big data simulations of a patient scheduling calendar and its effect on TWT in a general ophthalmology clinic. Based on the simulation, we implemented changes to the calendar and verified their effect on TWT in clinical practice. Design and methods: For this retrospective simulation study, we generated a discrete event simulation (DES) model based on clinical timepoints of 4.401 visits to our clinic. All data points were exported from our clinical warehouse for further processing. If not available from the electronic health record, manual time measurements of the process were used. Various patient scheduling models were simulated and evaluated based on their reduction of TWT. The most promising model was implemented into clinical practice in 2017. Results: During validation of our simulation model, we achieved a high agreement of mean TWT between the real data (229 ± 100 min) and the corresponding simulated data (225 ± 112 min). This indicates a high quality of the simulation model. Following the simulations, a patient scheduling calendar was introduced, which, compared with the old calendar, provided block intervals and extended time windows for patients. The simulated TWT of this model was 153 min. After implementation in clinical practice, TWT per patient in our general ophthalmology clinic has been reduced from 229 ± 100 to 183 ± 89 min. Conclusion: By implementing a big data simulation model, we have achieved a cost-neutral reduction of the mean TWT by 21%. Big data simulation enables users to evaluate variations to an existing system before implementation into clinical practice. Various models for improving patient flow or reducing capacity loads can be evaluated cost-effectively. [Figure not available: see fulltext.] © 2020, The Author(s).",2021,2022-10-26 15:47:41,2022-10-31 16:24:09,,1289-1296,,5,259,,,,,,,,,,,,,Scopus,,,,,,,,Big data; Discrete event simulation; Clinic efficiency; Ophthalmology; Waiting time optimisation; Yes,0,1,1,0,None,0,FlexSim,0,,,,,,,,
TM,,YVCU47A9,journalArticle,2021,"Lam, C.; Meinert, E.; Yang, A.; Cui, Z.",Comparison between centralized and decentralized supply chains of autologous chimeric antigen receptor T-cell therapies: a UK case study based on discrete event simulation,Cytotherapy,,,10.1016/j.jcyt.2020.08.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101870984&doi=10.1016%2fj.jcyt.2020.08.007&partnerID=40&md5=96e2bf61f5b531b1af4706bad58ff15a,"Background aims: Decentralized, or distributed, manufacturing that takes place close to the point of care has been a manufacturing paradigm of heightened interest within the cell therapy domain because of the product's being living cell material as well as the need for a highly monitored and temperature-controlled supply chain that has the potential to benefit from close proximity between manufacturing and application. Methods: To compare the operational feasibility and cost implications of manufacturing autologous chimeric antigen receptor T (CAR T)-cell products between centralized and decentralized schemes, a discrete event simulation model was built using ExtendSIM 9 for simulating the patient-to-patient supply chain, from the collection of patient cells to the final administration of CAR T therapy in hospitals. Simulations were carried out for hypothetical systems in the UK using three demand levels—low (100 patients per annum), anticipated (200 patients per annum) and high (500 patients per annum)—to assess resource allocation, cost per treatment and system resilience to demand changes and to quantify the risks of mix-ups within the supply chain for the delivery of CAR T treatments. Results: The simulation results show that although centralized manufacturing offers better economies of scale, individual facilities in a decentralized system can spread facility costs across a greater number of treatments and better utilize resources at high demand levels (annual demand of 500 patients), allowing for an overall more comparable cost per treatment. In general, raw material and consumable costs have been shown to be one of the greatest cost drivers, and genetic modification-associated costs have been shown to account for over one third of raw material and consumable costs. Turnaround time per treatment for the decentralized scheme is shown to be consistently lower than its centralized counterpart, as there is no need for product freeze-thaw, packaging and transportation, although the time savings is shown to be insignificant in the UK case study because of its rather compact geographical setting with well-established transportation networks. In both schemes, sterility testing lies on the critical path for treatment delivery and is shown to be critical for treatment turnaround time reduction. Conclusions: Considering both cost and treatment turnaround time, point-of-care manufacturing within the UK does not show great advantages over centralized manufacturing. However, further simulations using this model can be used to understand the feasibility of decentralized manufacturing in a larger geographical setting. © 2020 International Society for Cell & Gene Therapy",2021,2022-10-26 15:47:41,2022-10-31 16:24:59,,433-451,,5,23,,,,,,,,,,,,,Scopus,,,,,,,,discrete event simulation; CAR T; centralization; decentralization; manufacturing; supply chain; Yes,0,1,1,0,None,0,ExtendSim,0,,,,,,,,
TM,TM,WMJMEPPR,journalArticle,2021,"Graves, J.; Garbett, S.; Zhou, Z.; Schildcrout, J.S.; Peterson, J.",Comparison of Decision Modeling Approaches for Health Technology and Policy Evaluation,Medical Decision Making,,,10.1177/0272989X21995805,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102768601&doi=10.1177%2f0272989X21995805&partnerID=40&md5=b07bf1a3ab0433a897dc9c09b1307268,"We discuss tradeoffs and errors associated with approaches to modeling health economic decisions. Through an application in pharmacogenomic (PGx) testing to guide drug selection for individuals with a genetic variant, we assessed model accuracy, optimal decisions, and computation time for an identical decision scenario modeled 4 ways: using 1) coupled-time differential equations (DEQ), 2) a cohort-based discrete-time state transition model (MARKOV), 3) an individual discrete-time state transition microsimulation model (MICROSIM), and 4) discrete event simulation (DES). Relative to DEQ, the net monetary benefit for PGx testing (v. a reference strategy of no testing) based on MARKOV with rate-to-probability conversions using commonly used formulas resulted in different optimal decisions. MARKOV was nearly identical to DEQ when transition probabilities were embedded using a transition intensity matrix. Among stochastic models, DES model outputs converged to DEQ with substantially fewer simulated patients (1 million) v. MICROSIM (1 billion). Overall, properly embedded Markov models provided the most favorable mix of accuracy and runtime but introduced additional complexity for calculating cost and quality-adjusted life year outcomes due to the inclusion of “jumpover” states after proper embedding of transition probabilities. Among stochastic models, DES offered the most favorable mix of accuracy, reliability, and speed. © The Author(s) 2021.",2021,2022-10-26 15:47:41,2022-10-31 16:25:21,,453-464,,4,41,,,,,,,,,,,,,Scopus,,,,,,,,decision modeling; health economic methods; pharmacogenomics; Yes,0,1,1,1,None,0,R,1,,,PDF,,,,,The code appears to be embeeded in a LaTeX produced PDf
TM,,UH6BQAL8,journalArticle,2021,"Montazeri, M.; Multmeier, J.; Novorol, C.; Upadhyay, S.; Wicks, P.; Gilbert, S.",Optimization of patient flow in urgent care centers using a digital tool for recording patient symptoms and history: Simulation study,JMIR Formative Research,,,10.2196/26402,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106528583&doi=10.2196%2f26402&partnerID=40&md5=3b4bf3c5f4f532beb7c7aad3e49bb0d5,"Background: Crowding can negatively affect patient and staff experience, and consequently the performance of health care facilities. Crowding can potentially be eased through streamlining and the reduction of duplication in patient history-taking through the use of a digital symptom-taking app. Objective: We simulated the introduction of a digital symptom-taking app on patient flow. We hypothesized that waiting times and crowding in an urgent care center (UCC) could be reduced, and that this would be more efficient than simply adding more staff. Methods: A discrete-event approach was used to simulate patient flow in a UCC during a 4-hour time frame. The baseline scenario was a small UCC with 2 triage nurses, 2 doctors, 1 treatment/examination nurse, and 1 discharge administrator in service. We simulated 33 scenarios with different staff numbers or different potential time savings through the app. We explored average queue length, waiting time, idle time, and staff utilization for each scenario. Results: Discrete-event simulation showed that even a few minutes saved through patient app-based self-history recording during triage could result in significantly increased efficiency. A modest estimated time saving per patient of 2.5 minutes decreased the average patient wait time for triage by 26.17%, whereas a time saving of 5 minutes led to a 54.88% reduction in patient wait times. Alternatively, adding an additional triage nurse was less efficient, as the additional staff were only required at the busiest times. Conclusions: Small time savings in the history-taking process have potential to result in substantial reductions in total patient waiting time for triage nurses, with likely effects of reduced patient anxiety, staff anxiety, and improved patient care. Patient self-history recording could be carried out at home or in the waiting room via a check-in kiosk or a portable tablet computer. This formative simulation study has potential to impact service provision and approaches to digitalization at scale. © Maryam Montazeri, Jan Multmeier, Claire Novorol, Shubhanan Upadhyay, Paul Wicks, Stephen Gilbert. Originally published in JMIR Formative Research (https://formative.jmir.org), 21.05.2021. This is an open-access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in JMIR Formative Research, is properly cited. The complete bibliographic information, a link to the original publication on https://formative.jmir.org, as well as this copyright and license information must be included.",2021,2022-10-26 15:47:41,2022-11-01 10:29:57,,,,5,5,,,,,,,,,,,,,Scopus,,,,,,,,Discrete event simulation; Simulation; Waiting times; Patient flow; Health care system; Patient flow modeling; Symptom assessment app; Urgent care; Yes,0,1,1,0,None,0,Simmer,1,,,,,,,,
TM,,DXIBPWGP,journalArticle,2021,"Stapelberg, N.J.C.; Smoll, N.R.; Randall, M.; Palipana, D.; Bui, B.; Macartney, K.; Khandaker, G.; Wattiaux, A.","A discrete-event, simulated social agent- based network transmission (DESSABNeT) model for communicable diseases: Method and validation using SARS-CoV-2 data in three large Australian cities",PLoS ONE,,,10.1371/journal.pone.0251737,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106365981&doi=10.1371%2fjournal.pone.0251737&partnerID=40&md5=835214d309be3ecbc799c2eb136aaa0b,"Importance During pandemics Agent Based Models (ABMs) can model complex, fine-grained behavioural interactions occurring in social networks, that contribute to disease transmission by novel viruses such as SARS-CoV-2. Objective We present a new agent-based model (ABM) called the Discrete-Event, Simulated Social Agent based Network Transmission model (DESSABNeT) and demonstrate its ability to model the spread of COVID-19 in large cities like Sydney, Melbourne and Gold Coast. Our aim was to validate the model with its disease dynamics and underlying social network. Design DESSABNeT relies on disease transmission within simulated social networks. It employs an epidemiological SEIRD+M (Susceptible, exposed, infected, recovered, died and managed) structure. One hundred simulations were run for each city, with simulated social restrictions closely modelling real restrictions imposed in each location. Main outcome(s) and measure(s) The mean predicted daily incidence of COVID-19 cases were compared to real case incidence data for each city. Reff and health service utilisation outputs were compared to the literature, or for the Gold Coast with daily incidence of hospitalisation. Results DESSABNeT modelled multiple physical distancing restrictions and predicted epidemiological outcomes of Sydney, Melbourne and the Gold Coast, validating this model for future simulation work. Conclusions and relevance DESSABNeT is a valid platform to model the spread of COVID-19 in large cities in Australia and potentially internationally. The platform is suitable to model different combinations of social restrictions, or to model contact tracing, predict, and plan for, the impact on hospital and ICU admissions, and deaths; and also the rollout of COVID-19 vaccines and optimal social restrictions during vaccination. © 2021 Stapelberg et al.",2021,2022-10-26 15:47:41,2022-10-31 15:14:19,,,,5 May,16,,,,,,,,,,,,,Scopus,,,,,,,,Hybrid; Yes,0,1,1,1,None,1,MatLab,0,,GitHub,,,,,,
TM,,6BA5IQ9R,conferencePaper,2021,"Massollar, J.; Garcia, A.C.B.",FenceBot: An Elderly Tracking App for Mitigating Health Risk Contacts,"Proceedings of the 2021 IEEE 24th International Conference on Computer Supported Cooperative Work in Design, CSCWD 2021",,,10.1109/CSCWD49262.2021.9437612,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107769574&doi=10.1109%2fCSCWD49262.2021.9437612&partnerID=40&md5=29cfbd08af6dd54f30de37c19b50ef21,"Mobile technologies have been providing noteworthy scenarios regarding elderly care, replacing the traditional phone calls and face-to-face caregivers by a myriad of sensors and communication networks supporting detailed activities monitoring. On the other hand, the recent COVID pandemic has been leading governments to adopt contact tracing apps aiming at controlling the virus spreading. However, that adoption has raised many legitimate issues regarding individual privacy, besides those related to the effectiveness of this kind of app. In this context, this paper presents FenceBot, a novel approach for safety monitoring of the elderly when outdoors. The elderly data are kept private whenever in normal conditions, and alerts are sent to relatives only on unsafe or contagious risk situations that would demand verification and actions. The proposed technology was evaluated with a discrete-event simulation and the outcomes provided a solid indication of its effectiveness regarding protection from contagious risks situations. © 2021 IEEE.",2021,2022-10-26 15:47:41,2022-10-31 16:57:59,,1009-1014,,,,,,,,,,,,,,,,Scopus,,,,,,,,Bluetooth; contact tracing; elderly; GPS; point-of-interest; proximity detection; trajectory analysis; Yes,0,1,1,0,None,1,Unknown,Unknown,,,,,,,,
TM,,KZ9FQ87Q,conferencePaper,2021,"Zhang, W.; Li, W.; Teng, S.; Liu, D.",A New Insight in Medical Resources Scheduling of Physical Examination with Adaptive Collaboration,"Proceedings of the 2021 IEEE 24th International Conference on Computer Supported Cooperative Work in Design, CSCWD 2021",,,10.1109/CSCWD49262.2021.9437670,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107792707&doi=10.1109%2fCSCWD49262.2021.9437670&partnerID=40&md5=598330dffa803ebea49e2aa5bed5f5a0,"Medical resources of physical examination (P.E.) are often insufficient. The gap between providers and demanders are always existing and becoming more and more sensitive in some densely populated areas. If resources of P.E. departments are regarded as nodes, then each path selected by patients will constitute a small world network. Furthermore, with respect to traditional research concentrating on the feature between nodes in network, adaptive collaboration (AC) is in fact an important method to improve the group performance of the whole system in the small world network. Based on these, this paper deals with this kind of problem with respect to the scenario of P.E., which attempts to help decision makers of the health center to schedule limited resources and improve a patient's satisfaction and the system performance. It firstly abstracts a medical examination by Role-Based Collaboration (RBC) and its general model E-CARGO. The adaptive collaboration model is constructed by system states and optimized via series of group role assignments (GRAs), which is a subtask of RBC, and it can be accomplished by linear programming. All the proposed methods are verified by simulation experiments, and the team performance is improved via adaptation of the assignment strategies, which provides a new insight into the small world study. © 2021 IEEE.",2021,2022-10-26 15:47:41,2022-10-31 15:22:08,,546-551,,,,,,,,,,,,,,,,Scopus,,,,,,,,adaptive collaboration (AC); discrete events simulation; E-CARGO; group role assignment (GRA); physical examination (P.E.); role-based collaboration (RBC); scheduling; small world network; Yes,0,1,1,0,None,0,C++,0,,,,,,,,
